规格,数量
四宫格,1
套餐,1
整份,1
整份,1
壶,1
杯,1
整份,1
套餐,1
常温,1
整份,1
小瓶,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
常温,1
冰镇,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
常温,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
瓶,1
整份,1
冰镇,1
整份,1
个,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
单锅,4
拼锅,2
四宫格,1
整份,1
罐,1
杯,1
整份,1
扎,1
杯,1
壶,1
杯,1
整份,1
套餐,1
冰镇,1
小瓶,1
整份,1
常温,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
整份,1
瓶,1
整份,1
扎,1
杯,1
壶,1
杯,1
整份,1
套餐,1
小瓶,1
小瓶,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
常温,1
冰镇,1
整份,1
整份,1
常温,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
个,1
拼锅,2
四宫格,1
整份,1
整份,1
瓶,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
常温,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
杯,1
壶,1
杯,1
整份,1
套餐,1
小瓶,1
整份,1
常温,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
冰镇,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
瓶,1
小瓶,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
碗,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
整份,1
瓶,1
整份,1
扎,1
杯,1
杯,1
套餐,1
小瓶,1
冰镇,1
整份,1
整份,1
常温,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
套餐,1
整份,1
瓶,1
整份,1
扎,1
杯,1
壶,1
杯,1
整份,1
套餐,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
套餐,1
整份,1
瓶,1
整份,1
杯,1
杯,1
整份,1
套餐,1
小瓶,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
常温,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
个,1
拼锅,2
四宫格,1
整份,1
整份,1
瓶,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
整份,1
杯,1
整份,1
杯,1
壶,1
杯,1
整份,1
套餐,1
小瓶,1
冰镇,1
整份,1
小瓶,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
常温,1
冰镇,1
冰镇,1
冰镇,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
常温,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
常温,1
冰镇,1
小瓶,1
整份,1
整份,1
份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
个,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
瓶,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
套餐,1
整份,1
整份,1
壶,1
杯,1
整份,1
套餐,1
小瓶,1
常温,1
冰镇,1
整份,1
冰镇,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
常温,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
冰镇,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
常温,1
冰镇,1
整份,1
整份,1
份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
个,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
单锅,4
拼锅,2
四宫格,1
套餐,1
整份,1
整份,1
扎,1
壶,1
杯,1
整份,1
套餐,1
冰镇,1
整份,1
整份,1
常温,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
个,1
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
套餐,1
整份,1
杯,1
整份,1
扎,1
整份,1
套餐,1
冰镇,1
整份,1
小瓶,1
整份,1
常温,1
冰镇,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
冰镇,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
小瓶,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
瓶,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
拼锅,2
四宫格,1
整份,1
整份,1
壶,1
杯,1
整份,1
套餐,1
小瓶,1
冰镇,1
整份,1
小瓶,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
瓶,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
个,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
壶,1
杯,1
整份,1
套餐,1
冰镇,1
小瓶,1
常温,1
冰镇,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
冰镇,1
整份,1
整份,1
冰镇,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
条,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
瓶,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
整份,1
小瓶,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
整份,1
冰镇,1
整份,1
个,1
单锅,4
拼锅,2
四宫格,1
整份,1
整份,1
扎,1
扎,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
拼锅,2
四宫格,1
个,1
份,1
整份,1
整份,1
整份,1
整份,1
半份,0.5
整份,1
整份,1
拼锅,2
四宫格,1
整份,1
半份,0.5
整份,1
整份,1
碗,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
四宫格,1
整份,1
整份,1
整份,1
常温,1
冰镇,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
单锅,4
拼锅,2
四宫格,1
拼锅,2
四宫格,1
套餐,1
整份,1
罐,1
整份,1
扎,1
杯,1
杯,1
整份,1
套餐,1
冰镇,1
整份,1
冰镇,1
半份,0.5
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
整份,1
冰镇,1
整份,1
整份,1
冰镇,1
拼锅,2
四宫格,1
整份,1
整份,1
半份,0.5
整份,1
